Source Row,Product,Base Compound,Variant / Strength,Primary Category,Secondary Category,Website Status,Featured,Your Price,Market Position,Source Section,Display Priority,Alpha Notes
78,CJC-1295 w/DAC 2mg,CJC-1295 w/DAC,2mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,42,below market,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
79,CJC-1295 w/DAC 5mg,CJC-1295 w/DAC,5mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,184,under market,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
80,CJC-1295 no DAC 2mg,CJC-1295 no DAC,2mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,53,under market,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
81,CJC-1295 no DAC 5mg,CJC-1295 no DAC,5mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,93,under market,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
82,CJC-1295 no DAC 10mg,CJC-1295 no DAC,10mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,136,low,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
83,CJC-1295 + Ipamorelin 10mg,CJC-1295 + Ipamorelin,10mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,83,low,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
84,GHRP-2 5mg,GHRP-2,5mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,49,under market,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
85,GHRP-2 10mg,GHRP-2,10mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,66,low,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
86,GHRP-2 15mg,GHRP-2,15mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,68,very low,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
87,GHRP-6 5mg,GHRP-6,5mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,51,low,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
88,GHRP-6 10mg,GHRP-6,10mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,66,low,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
89,Hexarelin 2mg,Hexarelin,2mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,28,low,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
90,Hexarelin 5mg,Hexarelin,5mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,147,under market,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
91,Hexarelin 10mg,Hexarelin,10mg,Growth Hormone & Secretagogues,Secretagogue Research,In Stock,,148,under market,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
92,Tesamorelin,Tesamorelin,,Growth Hormone & Secretagogues,Secretagogue Research,Needs Pricing,,,premium category,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
93,Sermorelin,Sermorelin,,Growth Hormone & Secretagogues,Secretagogue Research,Needs Pricing,,not listed,common comp,SECTION 3 — GROWTH HORMONE / SECRETAGOGUES BENCHMARK,2,
98,Semax 5mg,Semax,5mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,Homepage Feature,54,below market,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,1,
99,Semax 10mg,Semax,10mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,,85,under market,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
100,DSIP 2mg,DSIP,2mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,,34,low,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
101,DSIP 5mg,DSIP,5mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,,61,low,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
102,DSIP 10mg,DSIP,10mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,,101,low,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
103,Cerebrolysin 60mg,Cerebrolysin,60mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,,21,very low,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
104,Cerebrolysin 600mg,Cerebrolysin,600mg,Cognitive & Neuro Research,Nootropic / Neuro Research,Restocking,,Restocking,under market,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
105,P21 / P021 5mg,P21 / P021,5mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,,101,specialty SKU,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
106,Pinealon 5mg,Pinealon,5mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,,53,under market,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
107,Pinealon 10mg,Pinealon,10mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,,84,under market,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
108,NAD+ 100mg,NAD+,100mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,,25,very low,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
109,NAD+ 500mg,NAD+,500mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,,78,low,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
110,NAD+ 1000mg,NAD+,1000mg,Cognitive & Neuro Research,Nootropic / Neuro Research,In Stock,,145,under market,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
111,Selank 5mg,Selank,5mg,Cognitive & Neuro Research,Nootropic / Neuro Research,Needs Pricing,,if stocked separately,reference comp,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
112,Dihexa,Dihexa,,Cognitive & Neuro Research,Nootropic / Neuro Research,Needs Pricing,,if stocked separately,specialty,SECTION 4 — NOOTROPICS / COGNITIVE / WELLNESS BENCHMARK,5,
118,ACE-031 1mg,ACE-031,1mg,Advanced Research Compounds,Rare / Specialty Research,In Stock,,40,specialty / few comps,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
119,B7-33 2mg,B7-33,2mg,Advanced Research Compounds,Rare / Specialty Research,In Stock,,57,rare SKU,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
120,B7-33 10mg,B7-33,10mg,Advanced Research Compounds,Rare / Specialty Research,In Stock,,197,low vs market,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
121,Adamax 5mg,Adamax,5mg,Advanced Research Compounds,Nootropic / Neuro Research,In Stock,,64,under market,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
122,Adamax 10mg,Adamax,10mg,Advanced Research Compounds,Nootropic / Neuro Research,In Stock,,90,under market,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
123,ADMAX 5mg,ADMAX,5mg,Advanced Research Compounds,Nootropic / Neuro Research,In Stock,,80,under market,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
124,ADMAX 10mg,ADMAX,10mg,Advanced Research Compounds,Nootropic / Neuro Research,In Stock,,110,under market,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
125,ARA-290 10mg,ARA-290,10mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,,73,low,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,2,
126,ARA-290 16mg,ARA-290,16mg,Recovery & Regenerative Research,Healing / Tissue Research,In Stock,,84,low,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,2,
127,CBL-514 5mg,CBL-514,5mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,152,rare,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,2,
128,CBL-514 10mg,CBL-514,10mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,290,rare,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,2,
129,CBL-514 20mg,CBL-514,20mg,Weight Management & Metabolic Research,Metabolic Support / Lipolysis Research,In Stock,,406,rare,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,2,
130,FOXO4-DRI 2mg,FOXO4-DRI,2mg,Longevity & Bioregulators,Bioregulator / Cellular Research,In Stock,,92,under market,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
131,FOXO4-DRI 10mg,FOXO4-DRI,10mg,Longevity & Bioregulators,Bioregulator / Cellular Research,In Stock,,329,significant pricing room,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
132,FST-344 1mg,FST-344,1mg,Advanced Research Compounds,Rare / Specialty Research,In Stock,,199,low,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
133,GDF-8 1mg,GDF-8,1mg,Advanced Research Compounds,Rare / Specialty Research,In Stock,,180,under market,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
134,Crystagen 20mg,Crystagen,20mg,Longevity & Bioregulators,Bioregulator / Cellular Research,In Stock,,93,rare bioregulator,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
135,Cortagen 20mg,Cortagen,20mg,Longevity & Bioregulators,Bioregulator / Cellular Research,In Stock,,97,rare bioregulator,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
136,Cardiogen/Cortagen/Crystagen 20mg,Cardiogen/Cortagen/Crystagen,20mg,Longevity & Bioregulators,Bioregulator / Cellular Research,In Stock,,97,rare blend,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
137,Cartalax 20mg,Cartalax,20mg,Longevity & Bioregulators,Bioregulator / Cellular Research,In Stock,,90,under market,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
138,Bronchogen 20mg,Bronchogen,20mg,Longevity & Bioregulators,Bioregulator / Cellular Research,In Stock,,93,under market,SECTION 5 — SPECIALTY / RARE COMPOUNDS / BIOREGULATORS BENCHMARK,5,
143,HGH 6iu,HGH,6iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,competitive,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
144,HGH 8iu,HGH,8iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,competitive,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
145,HGH 10iu,HGH,10iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,competitive,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
146,HGH 12iu,HGH,12iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,competitive,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
147,HGH 15iu,HGH,15iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,competitive,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
148,HGH 24iu,HGH,24iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,competitive,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
149,HGH 36iu,HGH,36iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,competitive,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
150,HGH 40iu,HGH,40iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,competitive,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
151,HCG 1000iu,HCG,1000iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,market average,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
152,HCG 2000iu,HCG,2000iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,competitive,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
153,HCG 5000iu,HCG,5000iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,competitive,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
154,HCG 10000iu,HCG,10000iu,Hormone Support,Hormone Support Research,Restocking,,Restocking,competitive,SECTION 6 — HGH / HORMONE SUPPORT / HEALING PEPTIDES BENCHMARK,5,
